trial,Self,Other,Feedback,strategy,agent_id,Memory,cumulative
73,0,1,0,Memory,2,0.42205619638416164,0.684931506849315
74,0,1,0,Memory,2,0.5376449571073293,0.6756756756756757
75,1,1,1,Memory,2,0.6301159656858635,0.68
76,1,1,1,Memory,2,0.7040927725486907,0.6842105263157895
77,1,1,1,Memory,2,0.7632742180389526,0.6883116883116883
78,1,1,1,Memory,2,0.810619374431162,0.6923076923076923
79,1,1,1,Memory,2,0.8484954995449296,0.6962025316455697
80,1,1,1,Memory,2,0.8787963996359437,0.7
81,1,0,0,Memory,2,0.903037119708755,0.691358024691358
82,1,0,0,Memory,2,0.722429695767004,0.6829268292682927
83,0,0,1,Memory,2,0.5779437566136032,0.6867469879518072
84,0,0,1,Memory,2,0.4623550052908826,0.6904761904761905
85,0,0,1,Memory,2,0.36988400423270607,0.6941176470588235
86,0,0,1,Memory,2,0.29590720338616483,0.6976744186046512
87,0,0,1,Memory,2,0.23672576270893186,0.7011494252873564
88,0,0,1,Memory,2,0.1893806101671455,0.7045454545454546
89,0,0,1,Memory,2,0.1515044881337164,0.7078651685393258
90,0,0,1,Memory,2,0.12120359050697312,0.7111111111111111
91,0,1,0,Memory,2,0.09696287240557849,0.7032967032967034
92,0,1,0,Memory,2,0.2775702979244628,0.6956521739130435
93,0,1,0,Memory,2,0.4220562383395703,0.6881720430107527
94,0,1,0,Memory,2,0.5376449906716563,0.6808510638297872
95,1,1,1,Memory,2,0.630115992537325,0.6842105263157895
96,1,1,1,Memory,2,0.70409279402986,0.6875
97,1,1,1,Memory,2,0.763274235223888,0.6907216494845361
98,0,1,0,Memory,2,0.8106193881791104,0.6836734693877551
99,1,1,1,Memory,2,0.8484955105432883,0.6868686868686869
100,1,1,1,Memory,2,0.8787964084346307,0.69
1,1,0,0,WSLS,3,NA,0
2,0,0,1,WSLS,3,NA,0.5
3,0,0,1,WSLS,3,NA,0.6666666666666666
4,0,0,1,WSLS,3,NA,0.75
5,0,0,1,WSLS,3,NA,0.8
6,0,0,1,WSLS,3,NA,0.8333333333333334
7,1,0,0,WSLS,3,NA,0.7142857142857143
8,0,0,1,WSLS,3,NA,0.75
9,0,0,1,WSLS,3,NA,0.7777777777777778
10,0,0,1,WSLS,3,NA,0.8
11,0,1,0,WSLS,3,NA,0.7272727272727273
12,1,1,1,WSLS,3,NA,0.75
13,1,1,1,WSLS,3,NA,0.7692307692307693
14,1,1,1,WSLS,3,NA,0.7857142857142857
15,1,1,1,WSLS,3,NA,0.8
16,1,1,1,WSLS,3,NA,0.8125
17,1,1,1,WSLS,3,NA,0.8235294117647058
18,1,1,1,WSLS,3,NA,0.8333333333333334
19,1,1,1,WSLS,3,NA,0.8421052631578947
20,1,1,1,WSLS,3,NA,0.85
21,1,0,0,WSLS,3,NA,0.8095238095238095
22,1,0,0,WSLS,3,NA,0.7727272727272727
23,0,0,1,WSLS,3,NA,0.782608695652174
24,0,0,1,WSLS,3,NA,0.7916666666666666
25,0,0,1,WSLS,3,NA,0.8
26,0,0,1,WSLS,3,NA,0.8076923076923077
27,0,0,1,WSLS,3,NA,0.8148148148148148
28,0,0,1,WSLS,3,NA,0.8214285714285714
29,0,0,1,WSLS,3,NA,0.8275862068965517
30,0,0,1,WSLS,3,NA,0.8333333333333334
31,0,1,0,WSLS,3,NA,0.8064516129032258
32,1,1,1,WSLS,3,NA,0.8125
33,1,1,1,WSLS,3,NA,0.8181818181818182
34,1,1,1,WSLS,3,NA,0.8235294117647058
35,1,1,1,WSLS,3,NA,0.8285714285714286
36,1,1,1,WSLS,3,NA,0.8333333333333334
37,1,1,1,WSLS,3,NA,0.8378378378378378
38,1,1,1,WSLS,3,NA,0.8421052631578947
39,1,1,1,WSLS,3,NA,0.8461538461538461
40,1,1,1,WSLS,3,NA,0.85
41,1,0,0,WSLS,3,NA,0.8292682926829268
42,1,0,0,WSLS,3,NA,0.8095238095238095
43,0,0,1,WSLS,3,NA,0.813953488372093
44,1,0,0,WSLS,3,NA,0.7954545454545454
45,0,0,1,WSLS,3,NA,0.8
46,0,0,1,WSLS,3,NA,0.8043478260869565
47,0,0,1,WSLS,3,NA,0.8085106382978723
48,0,0,1,WSLS,3,NA,0.8125
49,0,0,1,WSLS,3,NA,0.8163265306122449
50,0,0,1,WSLS,3,NA,0.82
51,0,1,0,WSLS,3,NA,0.803921568627451
52,1,1,1,WSLS,3,NA,0.8076923076923077
53,1,1,1,WSLS,3,NA,0.8113207547169812
54,1,1,1,WSLS,3,NA,0.8148148148148148
55,1,1,1,WSLS,3,NA,0.8181818181818182
56,1,1,1,WSLS,3,NA,0.8214285714285714
57,1,1,1,WSLS,3,NA,0.8245614035087719
58,1,1,1,WSLS,3,NA,0.8275862068965517
59,1,1,1,WSLS,3,NA,0.8305084745762712
60,1,1,1,WSLS,3,NA,0.8333333333333334
61,1,0,0,WSLS,3,NA,0.819672131147541
62,0,0,1,WSLS,3,NA,0.8225806451612904
63,0,0,1,WSLS,3,NA,0.8253968253968254
64,0,0,1,WSLS,3,NA,0.828125
65,0,0,1,WSLS,3,NA,0.8307692307692308
66,0,0,1,WSLS,3,NA,0.8333333333333334
67,0,0,1,WSLS,3,NA,0.835820895522388
68,0,0,1,WSLS,3,NA,0.8382352941176471
69,0,0,1,WSLS,3,NA,0.8405797101449275
70,0,0,1,WSLS,3,NA,0.8428571428571429
71,0,1,0,WSLS,3,NA,0.8309859154929577
72,0,1,0,WSLS,3,NA,0.8194444444444444
73,0,1,0,WSLS,3,NA,0.8082191780821918
74,1,1,1,WSLS,3,NA,0.8108108108108109
75,1,1,1,WSLS,3,NA,0.8133333333333334
76,1,1,1,WSLS,3,NA,0.8157894736842105
77,1,1,1,WSLS,3,NA,0.8181818181818182
78,1,1,1,WSLS,3,NA,0.8205128205128205
79,1,1,1,WSLS,3,NA,0.8227848101265823
80,0,1,0,WSLS,3,NA,0.8125
81,1,0,0,WSLS,3,NA,0.8024691358024691
82,0,0,1,WSLS,3,NA,0.8048780487804879
83,1,0,0,WSLS,3,NA,0.7951807228915663
84,0,0,1,WSLS,3,NA,0.7976190476190477
85,0,0,1,WSLS,3,NA,0.8
86,0,0,1,WSLS,3,NA,0.8023255813953488
87,1,0,0,WSLS,3,NA,0.7931034482758621
88,0,0,1,WSLS,3,NA,0.7954545454545454
89,0,0,1,WSLS,3,NA,0.797752808988764
90,0,0,1,WSLS,3,NA,0.8
91,0,1,0,WSLS,3,NA,0.7912087912087912
92,0,1,0,WSLS,3,NA,0.782608695652174
93,1,1,1,WSLS,3,NA,0.7849462365591398
94,1,1,1,WSLS,3,NA,0.7872340425531915
95,1,1,1,WSLS,3,NA,0.7894736842105263
